region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
356,PA- PHILADELPHIA,82.44,118,107,129,81.24,83.22,118 [107 - 129],82.44% [81.24% - 83.22%],304,154,401,05-18-2021,projected
357,PA- PITTSBURGH,83.12,184,174,203,82.71,83.62,184 [174 - 203],83.12% [82.71% - 83.62%],364,316,423,05-18-2021,projected
358,PA- READING,84.49,25,22,28,81.83,85.97,25 [22 - 28],84.49% [81.83% - 85.97%],64,26,85,05-18-2021,projected
359,PA- SAYRE,89.55,33,31,36,88.28,94.01,33 [31 - 36],89.55% [88.28% - 94.01%],45,39,66,05-18-2021,projected
360,PA- SCRANTON,83.85,14,13,15,83.17,84.31,14 [13 - 15],83.85% [83.17% - 84.31%],34,28,38,05-18-2021,projected
362,PA- WILKES-BARRE,84.12,10,9,12,82.75,85.19,10 [9 - 12],84.12% [82.75% - 85.19%],27,18,34,05-18-2021,projected
363,PA- YORK,85.78,21,19,22,83.97,87.1,21 [19 - 22],85.78% [83.97% - 87.1%],48,33,59,05-18-2021,projected
364,RI- PROVIDENCE,81.76,23,22,24,81.44,82.01,23 [22 - 24],81.76% [81.44% - 82.01%],55,45,63,05-18-2021,projected
365,SC- CHARLESTON,82.59,49,47,53,81.85,83.49,49 [47 - 53],82.59% [81.85% - 83.49%],77,55,104,05-18-2021,projected
366,SC- COLUMBIA,82.19,47,44,49,81.65,82.29,47 [44 - 49],82.19% [81.65% - 82.29%],82,62,86,05-18-2021,projected
367,SC- FLORENCE,81.34,8,7,9,80.67,81.34,8 [7 - 9],81.34% [80.67% - 81.34%],18,9,18,05-18-2021,projected
368,SC- GREENVILLE,83.39,42,40,45,82.84,84.1,42 [40 - 45],83.39% [82.84% - 84.1%],81,68,98,05-18-2021,projected
369,SC- SPARTANBURG,83.02,15,14,16,82.64,83.2,15 [14 - 16],83.02% [82.64% - 83.2%],32,28,34,05-18-2021,projected
370,SD- RAPID CITY,85.52,30,27,34,82.18,90.76,30 [27 - 34],85.52% [82.18% - 90.76%],38,15,74,05-18-2021,projected
371,SD- SIOUX FALLS,81.05,13,12,18,80.72,81.55,13 [12 - 18],81.05% [80.72% - 81.55%],29,20,43,05-18-2021,projected
373,TN- CHATTANOOGA,83.44,43,41,48,82.95,85.62,43 [41 - 48],83.44% [82.95% - 85.62%],77,66,126,05-18-2021,projected
374,TN- JACKSON,81.56,14,13,16,80.81,82.67,14 [13 - 16],81.56% [80.81% - 82.67%],21,11,36,05-18-2021,projected
375,TN- JOHNSON CITY,82.45,7,7,11,82.02,83.72,7 [7 - 11],82.45% [82.02% - 83.72%],23,19,35,05-18-2021,projected
376,TN- KINGSPORT,83.27,43,40,54,82.06,86.14,43 [40 - 54],83.27% [82.06% - 86.14%],65,41,122,05-18-2021,projected
377,TN- KNOXVILLE,82.25,59,54,68,81.8,82.68,59 [54 - 68],82.25% [81.8% - 82.68%],94,75,112,05-18-2021,projected
379,TN- MEMPHIS,83.1,96,92,105,82.39,83.4,96 [92 - 105],83.1% [82.39% - 83.4%],196,151,215,05-18-2021,projected
380,TN- NASHVILLE,81.86,68,61,78,81.4,82.48,68 [61 - 78],81.86% [81.4% - 82.48%],159,120,212,05-18-2021,projected
382,TX- ABILENE,82.11,21,20,22,81.43,82.71,21 [20 - 22],82.11% [81.43% - 82.71%],28,19,36,05-18-2021,projected
383,TX- AMARILLO,84.13,31,26,39,82.13,87.32,31 [26 - 39],84.13% [82.13% - 87.32%],62,32,110,05-18-2021,projected
385,TX- AUSTIN,87.18,163,154,177,84.8,91.38,163 [154 - 177],87.18% [84.8% - 91.38%],251,168,398,05-18-2021,projected
386,TX- BEAUMONT,84.31,40,38,42,82.99,85.55,40 [38 - 42],84.31% [82.99% - 85.55%],59,41,76,05-18-2021,projected
388,TX- BRYAN,83.76,10,9,11,83.1,84.41,10 [9 - 11],83.76% [83.1% - 84.41%],23,19,27,05-18-2021,projected
