Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Bahia,Brazil,122169,1931,2840,47,74612,1219,44717,665,2020-07-20 03:00:00,140002746,,,,
Maranhão,Brazil,106325,233,2708,32,81121,500,22496,-299,2020-07-20 03:00:00,140002749,,,,
Minas Gerais,Brazil,92972,2097,1982,18,49314,1865,41676,214,2020-07-20 03:00:00,140002743,,,,
Amazonas,Brazil,90913,379,3149,20,69142,36,18622,323,2020-07-20 03:00:00,140003874,,,,
Distrito Federal,Brazil,82412,1249,1085,10,50370,1686,30957,-447,2020-07-20 03:00:00,140002763,,,,
Pernambuco,Brazil,79452,943,5984,56,55401,1299,18067,-412,2020-07-20 03:00:00,140002747,,,,
Espírito Santo,Brazil,70609,478,2222,20,46266,442,22121,16,2020-07-20 03:00:00,140002754,,,,
Paraíba,Brazil,67382,411,1486,9,46470,332,19426,70,2020-07-20 03:00:00,140002756,,,,
Paraná,Brazil,54629,1076,1327,19,26098,701,27204,356,2020-07-20 03:00:00,140003325,,,,
Santa Catarina,Brazil,53336,805,685,23,28701,817,23950,-35,2020-07-20 03:00:00,140003326,,,,
Alagoas,Brazil,50078,495,1397,16,35159,535,13522,-56,2020-07-20 03:00:00,140002761,,,,
Rio Grande do Sul,Brazil,47113,266,1252,23,27646,249,18215,-6,2020-07-20 03:00:00,140003327,,,,
Sergipe,Brazil,45243,2171,1125,14,26177,355,17941,1802,2020-07-20 03:00:00,140002760,,,,
Rio Grande do Norte,Brazil,43766,315,1577,5,29167,309,13022,1,2020-07-20 03:00:00,140002750,,,,
Goiás,Brazil,40769,-26,1092,13,24105,13,15572,-52,2020-07-20 03:00:00,140002742,,,,
Piauí,Brazil,39296,728,1100,17,22009,403,16187,308,2020-07-20 03:00:00,140002751,,,,
Mato Grosso,Brazil,34136,1429,1332,27,16783,615,16021,787,2020-07-20 03:00:00,140002752,,,,
Amapá,Brazil,33705,120,507,2,26967,58,6231,60,2020-07-20 03:00:00,140002759,,,,
Rondônia,Brazil,29117,0,686,0,20550,423,7881,-423,2020-07-20 03:00:00,140002757,,,,
Roraima,Brazil,25467,94,429,0,16143,124,8895,-30,2020-07-20 03:00:00,140002758,,,,
Tocantins,Brazil,17773,564,294,6,11134,151,6345,407,2020-07-20 03:00:00,140002748,,,,
Acre,Brazil,17295,93,460,3,13210,106,3625,-16,2020-07-20 03:00:00,140003873,,,,
Mato Grosso do Sul,Brazil,16403,397,222,6,8638,139,7543,252,2020-07-20 03:00:00,140002755,,,,
Region Metropolitana,Chile,244039,0,6858,0,206748,2479,30433,-2479,2020-07-20 03:00:00,140003345,,,,
Valparaiso,Chile,15405,0,407,0,11709,285,3289,-285,2020-07-20 03:00:00,140003346,,,,
Antofagasta,Chile,12800,0,271,0,8987,280,3542,-280,2020-07-20 03:00:00,140003347,,,,
Biobío,Chile,9136,0,95,0,6761,198,2280,-198,2020-07-20 03:00:00,140003340,,,,
Libertador General Bernardo O'Higgins,Chile,9080,0,164,0,6173,220,2743,-220,2020-07-20 03:00:00,140003348,,,,
Maule,Chile,7626,0,125,0,5644,140,1857,-140,2020-07-20 03:00:00,140003344,,,,
Tarapaca,Chile,7407,0,139,0,6031,134,1237,-134,2020-07-20 03:00:00,140002800,,,,
Coquimbo,Chile,4476,0,49,0,3112,99,1315,-99,2020-07-20 03:00:00,140003341,,,,
Araucania,Chile,3697,0,71,0,3216,34,410,-34,2020-07-20 03:00:00,140003338,,,,
Ñuble,Chile,3105,0,52,0,2412,40,641,-40,2020-07-20 03:00:00,,,,,
Arica y Parinacota,Chile,2935,0,34,0,1825,54,1076,-54,2020-07-20 03:00:00,140002799,,,,
Los Lagos,Chile,2586,0,30,0,1777,68,779,-68,2020-07-20 03:00:00,140003342,,,,
Atacama,Chile,1747,0,9,0,1116,42,622,-42,2020-07-20 03:00:00,140003339,,,,
Magallanes y de la Antarctica,Chile,1590,0,28,0,1406,9,156,-9,2020-07-20 03:00:00,140003350,,,,
Los Rios,Chile,822,0,13,0,679,7,130,-7,2020-07-20 03:00:00,140003343,,,,
Aysén,Chile,69,0,1,0,42,1,26,-1,2020-07-20 03:00:00,140003349,,,,
Bavaria,Germany,49710,172,2616,3,45622,-3,1472,172,2020-07-20 03:00:00,140003864,,,,
North Rhine-Westphalia,Germany,46024,636,1712,1,40688,-1,3624,636,2020-07-20 03:00:00,140003860,,,,
Baden-Wurttemberg,Germany,36342,115,1838,0,33683,0,821,115,2020-07-20 03:00:00,140003865,,,,
Lower Saxony,Germany,13963,76,645,2,12749,-2,569,76,2020-07-20 03:00:00,140003870,,,,
Hesse,Germany,11386,103,514,0,10200,0,672,103,2020-07-20 03:00:00,140003866,,,,
Berlin,Germany,8774,75,221,0,7839,0,714,75,2020-07-20 03:00:00,140003662,,,,
Rhineland-Palatinate,Germany,7299,41,238,0,6727,0,334,41,2020-07-20 03:00:00,140003868,,,,
Saxony,Germany,5488,4,225,0,5206,0,57,4,2020-07-20 03:00:00,140003863,,,,
Hamburg,Germany,5240,7,261,0,4907,0,72,7,2020-07-20 03:00:00,140003859,,,,
Brandenburg,Germany,3476,10,167,0,3246,0,63,10,2020-07-20 03:00:00,140003858,,,,
Thuringia,Germany,3321,11,182,0,3051,0,88,11,2020-07-20 03:00:00,140003867,,,,
Schleswig-Holstein,Germany,3253,18,154,0,2993,0,106,18,2020-07-20 03:00:00,140003871,,,,
Saarland,Germany,2828,4,174,0,2623,0,31,4,2020-07-20 03:00:00,140003861,,,,
Saxony-Anhalt,Germany,1946,20,62,0,1793,0,91,20,2020-07-20 03:00:00,140003862,,,,
Bremen,Germany,1718,21,55,0,1588,0,75,21,2020-07-20 03:00:00,140003869,,,,
Mecklenburg-Western Pomerania,Germany,806,1,20,0,778,0,8,1,2020-07-20 03:00:00,140003872,,,,
Lombardy,Italy,95459,0,16788,0,77003,0,1668,0,2020-07-20 03:00:00,140000679,43442,0,35229,0
Piedmont,Italy,31545,0,4119,0,27228,0,198,0,2020-07-20 03:00:00,140000673,17016,0,10410,0
Emilia-Romagna,Italy,29148,0,4274,0,24202,0,672,0,2020-07-20 03:00:00,140000680,18258,0,6616,0
Veneto,Italy,19559,0,2049,0,17246,0,264,0,2020-07-20 03:00:00,140000678,13666,0,3844,0
Tuscany,Italy,10358,0,1129,0,9122,0,107,0,2020-07-20 03:00:00,140000675,6867,0,2362,0
Liguria,Italy,10090,0,1565,0,8421,0,104,0,2020-07-20 03:00:00,140000687,5725,0,2800,0
Lazio,Italy,8419,0,850,0,7252,0,317,0,2020-07-20 03:00:00,140000686,3100,0,4469,0
Marche,Italy,6816,0,1005,0,5782,0,29,0,2020-07-20 03:00:00,140000674,3716,0,2095,0
Campania,Italy,5047,0,433,0,4488,0,126,0,2020-07-20 03:00:00,140000676,2871,0,1743,0
